date,month,rainfall_24h,rainfall_3d,rainfall_7d,elevation,river_flow,discharge_next
2015-01-08,1,0.0,0.0,0.0,561.0,6.52,6.48
2015-01-09,1,0.0,0.0,0.0,561.0,6.48,6.5
2015-01-10,1,0.0,0.0,0.0,561.0,6.5,6.48
2015-01-11,1,0.0,0.0,0.0,561.0,6.48,6.43
2015-01-12,1,0.0,0.0,0.0,561.0,6.43,6.35
2015-01-13,1,0.0,0.0,0.0,561.0,6.35,6.28
2015-01-14,1,0.0,0.0,0.0,561.0,6.28,6.29
2015-01-15,1,0.0,0.0,0.0,561.0,6.29,6.31
2015-01-16,1,0.0,0.0,0.0,561.0,6.31,6.21
2015-01-17,1,0.0,0.0,0.0,561.0,6.21,6.06
2015-01-18,1,0.0,0.0,0.0,561.0,6.06,6.05
2015-01-19,1,0.0,0.0,0.0,561.0,6.05,6.14
2015-01-20,1,0.0,0.0,0.0,561.0,6.14,6.21
2015-01-21,1,0.0,0.0,0.0,561.0,6.21,6.26
2015-01-22,1,0.0,0.0,0.0,561.0,6.26,6.28
2015-01-23,1,0.0,0.0,0.0,561.0,6.28,6.19
2015-01-24,1,0.0,0.0,0.0,561.0,6.19,6.13
2015-01-25,1,0.0,0.0,0.0,561.0,6.13,6.1
2015-01-26,1,0.0,0.0,0.0,561.0,6.1,6.03
2015-01-27,1,0.0,0.0,0.0,561.0,6.03,5.97
2015-01-28,1,0.0,0.0,0.0,561.0,5.97,5.93
2015-01-29,1,0.0,0.0,0.0,561.0,5.93,5.9
2015-01-30,1,0.0,0.0,0.0,561.0,5.9,5.87
2015-01-31,1,0.0,0.0,0.0,561.0,5.87,6.53
2015-02-01,2,0.0,0.0,0.0,561.0,6.53,6.74
2015-02-02,2,0.0,0.0,0.0,561.0,6.74,6.78
2015-02-03,2,0.0,0.0,0.0,561.0,6.78,6.78
2015-02-04,2,0.0,0.0,0.0,561.0,6.78,6.74
2015-02-05,2,0.0,0.0,0.0,561.0,6.74,6.66
2015-02-06,2,0.0,0.0,0.0,561.0,6.66,6.66
2015-02-07,2,0.0,0.0,0.0,561.0,6.66,6.73
2015-02-08,2,0.0,0.0,0.0,561.0,6.73,6.74
2015-02-09,2,0.0,0.0,0.0,561.0,6.74,6.87
2015-02-10,2,1.1,1.1,1.1,561.0,6.87,6.94
2015-02-11,2,0.0,1.1,1.1,561.0,6.94,6.91
2015-02-12,2,0.0,1.1,1.1,561.0,6.91,6.85
2015-02-13,2,0.0,0.0,1.1,561.0,6.85,6.74
2015-02-14,2,0.0,0.0,1.1,561.0,6.74,6.69
2015-02-15,2,0.0,0.0,1.1,561.0,6.69,6.69
2015-02-16,2,0.0,0.0,1.1,561.0,6.69,6.62
2015-02-17,2,0.0,0.0,0.0,561.0,6.62,6.59
2015-02-18,2,0.0,0.0,0.0,561.0,6.59,6.59
2015-02-19,2,0.0,0.0,0.0,561.0,6.59,6.59
2015-02-20,2,0.0,0.0,0.0,561.0,6.59,6.62
2015-02-21,2,0.0,0.0,0.0,561.0,6.62,6.57
2015-02-22,2,0.0,0.0,0.0,561.0,6.57,6.53
2015-02-23,2,0.0,0.0,0.0,561.0,6.53,6.5
2015-02-24,2,0.0,0.0,0.0,561.0,6.5,6.57
2015-02-25,2,0.0,0.0,0.0,561.0,6.57,6.5
2015-02-26,2,0.0,0.0,0.0,561.0,6.5,6.43
2015-02-27,2,0.0,0.0,0.0,561.0,6.43,64.92
2015-02-28,2,30.7,30.7,30.7,561.0,64.92,56.81
2015-03-01,3,19.3,50.0,50.0,561.0,56.81,31.66
2015-03-02,3,1.2,51.2,51.2,561.0,31.66,18.95
2015-03-03,3,0.0,20.5,51.2,561.0,18.95,13.13
2015-03-04,3,0.0,1.2,51.2,561.0,13.13,10.22
2015-03-05,3,0.0,0.0,51.2,561.0,10.22,8.66
2015-03-06,3,0.0,0.0,51.2,561.0,8.66,7.79
2015-03-07,3,0.0,0.0,20.5,561.0,7.79,7.32
2015-03-08,3,0.0,0.0,1.2,561.0,7.32,7.04
2015-03-09,3,0.0,0.0,0.0,561.0,7.04,7.49
2015-03-10,3,1.6,1.6,1.6,561.0,7.49,9.02
2015-03-11,3,2.4,4.0,4.0,561.0,9.02,8.53
2015-03-12,3,0.4,4.4,4.4,561.0,8.53,8.62
2015-03-13,3,2.0,4.8,6.4,561.0,8.62,8.66
2015-03-14,3,1.7,4.1,8.1,561.0,8.66,8.1
2015-03-15,3,0.0,3.7,8.1,561.0,8.1,7.49
2015-03-16,3,0.0,1.7,8.1,561.0,7.49,7.04
2015-03-17,3,0.0,0.0,6.5,561.0,7.04,6.74
2015-03-18,3,0.0,0.0,4.1,561.0,6.74,6.53
2015-03-19,3,0.0,0.0,3.7,561.0,6.53,6.41
2015-03-20,3,0.0,0.0,1.7,561.0,6.41,6.35
